date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:05:46	0/0	---M--	301	error ('TLS%20Redirect')	text/html	date:Mon,%2017%20Jul%202017%2014:05:46%20GMT	http://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Capitol_Building_Full_View.jpg/320px-Capitol_Building_Full_View.jpg	C:/congress_site/congres/upload.wikimedia.org/wikipedia/commons/thumb/2/27/Capitol_Building_Full_View.jpg/320px-Capitol_Building_Full_View.19.delayed	(from https://en.wikipedia.org/wiki/File:Capitol_Building_Full_View.jpg)
15:05:49	10812/10812	---M--	200	added ('OK')	image/jpeg	etag:c04293720bb3e8f9312ada9aaf09ffc9	https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Capitol_Building_Full_View.jpg/320px-Capitol_Building_Full_View.jpg	C:/congress_site/congres/upload.wikimedia.org/wikipedia/commons/thumb/2/27/Capitol_Building_Full_View.jpg/320px-Capitol_Building_Full_View.jpg	(from https://en.wikipedia.org/wiki/File:Capitol_Building_Full_View.jpg)
15:05:49	0/0	---M--	301	error ('TLS%20Redirect')	text/html	date:Mon,%2017%20Jul%202017%2014:05:50%20GMT	http://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Capitol_Building_Full_View.jpg/640px-Capitol_Building_Full_View.jpg	C:/congress_site/congres/upload.wikimedia.org/wikipedia/commons/thumb/2/27/Capitol_Building_Full_View.jpg/640px-Capitol_Building_Full_View.1b.delayed	(from https://en.wikipedia.org/wiki/File:Capitol_Building_Full_View.jpg)
15:05:54	57993/57993	---M--	200	added ('OK')	image/jpeg	etag:76cadadb2b489d71b471500d9017dc6a	https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Capitol_Building_Full_View.jpg/800px-Capitol_Building_Full_View.jpg	C:/congress_site/congres/upload.wikimedia.org/wikipedia/commons/thumb/2/27/Capitol_Building_Full_View.jpg/800px-Capitol_Building_Full_View.jpg	(from https://en.wikipedia.org/wiki/File:Capitol_Building_Full_View.jpg)
15:05:55	0/0	---M--	301	error ('TLS%20Redirect')	text/html	date:Mon,%2017%20Jul%202017%2014:05:55%20GMT	http://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Capitol_Building_Full_View.jpg/1024px-Capitol_Building_Full_View.jpg	C:/congress_site/congres/upload.wikimedia.org/wikipedia/commons/thumb/2/27/Capitol_Building_Full_View.jpg/1024px-Capitol_Building_Full_View.1d.delayed	(from https://en.wikipedia.org/wiki/File:Capitol_Building_Full_View.jpg)
15:05:57	37373/37373	---M--	200	added ('OK')	image/jpeg	etag:5af7aac27b54a6c6f926bf3792e364cf	https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Capitol_Building_Full_View.jpg/640px-Capitol_Building_Full_View.jpg	C:/congress_site/congres/upload.wikimedia.org/wikipedia/commons/thumb/2/27/Capitol_Building_Full_View.jpg/640px-Capitol_Building_Full_View.jpg	(from https://en.wikipedia.org/wiki/File:Capitol_Building_Full_View.jpg)
15:05:58	0/0	---M--	301	error ('TLS%20Redirect')	text/html	date:Mon,%2017%20Jul%202017%2014:05:58%20GMT	http://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Capitol_Building_Full_View.jpg/1280px-Capitol_Building_Full_View.jpg	C:/congress_site/congres/upload.wikimedia.org/wikipedia/commons/thumb/2/27/Capitol_Building_Full_View.jpg/1280px-Capitol_Building_Full_View.1f.delayed	(from https://en.wikipedia.org/wiki/File:Capitol_Building_Full_View.jpg)
15:05:58	201185/201185	---M--	200	added ('OK')	application/javascript	etag:%22flask-1366860013.0-201185-2174814658%22	http://letsfreecongress.org/static/js/lopsided.js	C:/congress_site/congres/letsfreecongress.org/static/js/lopsided.js	(from http://letsfreecongress.org/)
15:05:58	91662/91662	---M--	200	added ('OK')	image/jpeg	etag:73bf603345b9145b02d406e046505de6	https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Capitol_Building_Full_View.jpg/1024px-Capitol_Building_Full_View.jpg	C:/congress_site/congres/upload.wikimedia.org/wikipedia/commons/thumb/2/27/Capitol_Building_Full_View.jpg/1024px-Capitol_Building_Full_View.jpg	(from https://en.wikipedia.org/wiki/File:Capitol_Building_Full_View.jpg)
15:06:00	0/0	---M--	301	error ('TLS%20Redirect')	text/html	date:Mon,%2017%20Jul%202017%2014:05:58%20GMT	http://upload.wikimedia.org/wikipedia/en/thumb/4/4a/Commons-logo.svg/30px-Commons-logo.svg.png	C:/congress_site/congres/upload.wikimedia.org/wikipedia/en/thumb/4/4a/Commons-logo.svg/30px-Commons-logo.svg.png	(from https://en.wikipedia.org/wiki/File:Capitol_Building_Full_View.jpg)
15:06:00	142526/142526	---M--	200	added ('OK')	image/jpeg	etag:66f17fee76ea0f634afedab4b57915ab	https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Capitol_Building_Full_View.jpg/1280px-Capitol_Building_Full_View.jpg	C:/congress_site/congres/upload.wikimedia.org/wikipedia/commons/thumb/2/27/Capitol_Building_Full_View.jpg/1280px-Capitol_Building_Full_View.jpg	(from https://en.wikipedia.org/wiki/File:Capitol_Building_Full_View.jpg)
15:06:00	1594/1594	---M--	200	added ('OK')	image/png	etag:9a040c08af3a5c86e9eab415db14f4d5	https://upload.wikimedia.org/wikipedia/en/thumb/4/4a/Commons-logo.svg/30px-Commons-logo.svg.png	C:/congress_site/congres/upload.wikimedia.org/wikipedia/en/thumb/4/4a/Commons-logo.svg/30px-Commons-logo.svg.png	(from https://en.wikipedia.org/wiki/File:Capitol_Building_Full_View.jpg)
15:06:02	0/0	---M--	301	error ('TLS%20Redirect')	text/html	date:Mon,%2017%20Jul%202017%2014:06:00%20GMT	http://upload.wikimedia.org/wikipedia/en/thumb/e/e7/Cscr-featured.svg/14px-Cscr-featured.svg.png	C:/congress_site/congres/upload.wikimedia.org/wikipedia/en/thumb/e/e7/Cscr-featured.svg/14px-Cscr-featured.svg.png	(from https://en.wikipedia.org/wiki/File:Capitol_Building_Full_View.jpg)
15:06:02	613/613	---M--	200	added ('OK')	image/png	etag:e48c31c936e9dcc95ce20ec907ec6b56	https://upload.wikimedia.org/wikipedia/en/thumb/e/e7/Cscr-featured.svg/14px-Cscr-featured.svg.png	C:/congress_site/congres/upload.wikimedia.org/wikipedia/en/thumb/e/e7/Cscr-featured.svg/14px-Cscr-featured.svg.png	(from https://en.wikipedia.org/wiki/File:Capitol_Building_Full_View.jpg)
15:06:04	0/0	---M--	301	error ('TLS%20Redirect')	text/html	date:Mon,%2017%20Jul%202017%2014:06:03%20GMT	http://upload.wikimedia.org/wikipedia/en/thumb/e/e7/Cscr-featured.svg/50px-Cscr-featured.svg.png	C:/congress_site/congres/upload.wikimedia.org/wikipedia/en/thumb/e/e7/Cscr-featured.svg/50px-Cscr-featured.svg.26.delayed	(from https://en.wikipedia.org/wiki/File:Capitol_Building_Full_View.jpg)
15:06:04	43787/43787	---M-Z	200	added ('OK')	text/html	date:Sat,%2015%20Jul%202017%2013:45:50%20GMT	https://en.wikipedia.org/wiki/File:Cscr-featured.svg	C:/congress_site/congres/en.wikipedia.org/wiki/File_Cscr-featured.html	(from https://en.wikipedia.org/wiki/File:Capitol_Building_Full_View.jpg)
